male,age,edu,inc,union,lrscale
0,66,6,4,0,4
1,57,5,9,1,7
0,56,6,6,1,5
0,74,3,2,0,5
0,49,4,9,1,8
1,58,3,3,1,5
0,21,2,2,0,10
1,65,3,6,1,8
1,37,7,7,1,6
1,27,6,9,1,7
1,65,3,3,1,5
1,27,7,7,1,7
1,17,2,8,0,8
1,74,3,5,0,2
1,69,3,9,1,9
1,66,3,6,0,7
1,29,7,9,1,7
1,37,7,10,0,8
1,61,3,6,1,8
1,21,5,5,0,2
1,25,6,1,0,7
1,39,6,9,0,3
0,34,4,5,0,2
0,49,6,5,1,3
1,46,5,3,1,8
1,27,3,2,1,3
0,32,6,9,1,3
0,15,2,8,0,5
1,60,2,6,1,4
0,36,5,6,1,3
0,83,2,1,0,10
0,36,6,10,1,5
0,73,1,4,0,5
1,18,2,10,0,3
0,27,6,1,0,6
1,73,7,5,0,0
1,68,1,1,1,5
1,54,6,2,1,6
1,42,6,8,0,7
0,45,5,10,0,7
1,20,2,4,0,7
0,31,3,5,1,4
0,51,5,10,1,5
0,48,6,4,1,3
1,47,4,8,1,3
1,45,1,2,1,6
1,20,4,3,0,1
1,38,6,6,0,7
0,79,2,10,0,7
1,50,6,10,0,8
0,50,2,9,1,7
1,85,1,1,0,2
0,41,3,10,1,4
0,26,4,5,1,4
1,67,6,4,0,8
1,65,3,5,1,1
0,70,3,4,0,7
1,39,6,10,1,4
1,73,3,3,0,8
0,43,6,10,1,8
1,62,3,10,1,8
1,67,3,7,0,3
0,46,5,7,1,5
1,72,2,2,1,6
0,74,7,3,1,2
1,45,3,8,1,8
1,55,3,6,1,8
0,52,2,8,1,3
0,38,6,8,1,7
0,23,4,1,0,8
0,46,6,6,1,2
0,78,1,3,0,5
0,44,3,6,1,6
1,61,7,9,1,4
1,50,3,6,1,2
0,34,7,7,1,3
1,71,1,4,0,2
0,46,6,10,1,7
1,32,3,9,1,9
1,61,7,10,1,7
0,60,3,5,1,4
0,68,6,6,0,1
1,29,6,5,1,3
0,21,2,4,0,1
0,67,6,6,0,4
1,49,3,8,1,5
1,46,5,8,1,8
1,47,2,6,1,6
0,24,3,2,1,5
1,65,5,4,0,6
0,24,4,6,1,7
1,28,3,5,1,10
0,21,4,1,0,8
0,82,1,2,0,9
0,50,6,6,0,7
1,28,3,2,1,7
0,49,3,6,1,3
1,23,4,1,0,8
1,16,1,5,0,7
1,37,3,6,0,7
1,47,7,10,1,4
0,83,3,3,0,0
1,74,3,3,0,9
0,28,4,7,1,3
0,68,1,2,0,10
1,27,3,9,0,3
0,56,6,5,0,1
0,44,4,7,1,8
0,68,2,8,1,4
1,43,1,4,0,4
0,48,7,7,1,7
0,61,6,5,1,5
0,56,7,10,1,2
1,71,6,5,1,0
1,22,4,2,0,4
1,31,2,7,1,7
0,45,5,6,1,3
1,51,3,7,0,7
1,30,6,9,1,7
0,47,6,10,1,4
0,35,7,8,1,6
1,68,7,5,1,8
1,23,4,2,1,2
0,47,3,6,1,6
0,19,4,2,0,8
0,61,3,5,1,3
0,69,6,8,0,5
0,58,3,8,1,8
1,30,7,10,1,5
1,25,4,2,0,3
1,33,7,3,0,3
1,30,3,6,1,8
0,66,1,1,0,0
0,38,3,8,1,8
1,35,3,8,1,9
0,34,5,7,0,6
1,39,6,7,1,5
1,26,4,3,1,1
1,63,3,4,1,5
0,39,3,8,1,9
0,54,5,10,1,5
1,64,3,8,1,8
1,59,3,7,1,3
0,15,1,10,0,1
0,50,6,5,1,8
1,37,7,10,0,6
1,79,7,7,0,7
1,19,3,10,1,5
1,71,5,4,0,5
1,63,3,1,0,5
0,85,1,3,0,2
0,55,5,3,1,6
1,60,6,5,1,8
0,28,3,5,1,6
1,88,1,4,0,6
1,72,7,10,1,2
0,65,6,3,1,2
1,87,3,2,0,7
1,44,7,10,0,7
1,57,6,2,0,5
0,53,3,2,1,5
1,24,4,7,0,4
1,79,1,4,0,7
1,43,6,7,1,5
0,44,6,10,1,7
1,62,6,7,1,8
1,31,3,3,0,9
0,19,4,10,0,4
0,80,6,2,0,0
1,43,5,7,1,8
1,77,3,4,0,10
1,71,5,6,0,6
0,38,7,7,0,7
1,68,4,1,0,0
0,80,3,1,0,5
1,57,6,7,1,6
0,23,4,1,1,1
0,25,4,1,1,4
1,48,3,6,1,8
1,82,6,4,1,8
1,57,2,6,1,0
0,57,6,5,1,4
0,34,6,7,1,2
0,69,1,8,0,10
0,59,6,8,1,4
1,59,6,6,1,7
1,37,4,10,0,8
1,72,1,5,1,6
1,59,3,4,1,4
0,34,7,8,1,2
0,29,4,2,1,5
1,63,3,7,1,4
1,41,6,10,1,3
0,30,7,7,1,0
0,42,4,4,1,3
1,48,3,10,0,5
1,34,6,8,1,5
0,57,6,10,1,6
0,34,5,9,1,8
1,57,3,5,1,3
1,68,3,3,0,7
0,46,7,10,1,7
0,54,2,8,1,9
0,39,6,4,1,1
1,37,3,6,1,7
1,18,2,1,0,5
1,25,3,5,1,3
0,25,2,1,1,7
0,58,2,7,1,8
1,81,3,2,0,5
0,57,5,9,1,8
0,40,7,6,1,8
0,56,6,8,1,8
0,48,2,2,0,3
1,75,3,4,0,5
1,47,2,8,1,3
1,59,6,1,1,3
0,76,1,2,0,6
1,63,2,4,0,8
1,67,5,6,1,5
1,59,5,8,1,8
1,52,5,6,1,4
0,76,1,2,1,4
1,50,7,10,0,8
0,38,6,5,1,5
0,45,3,10,1,8
1,46,6,5,1,9
0,75,3,2,0,9
1,30,6,6,1,3
1,34,3,5,1,3
1,18,2,2,1,9
0,75,5,1,0,1
0,20,2,9,1,5
0,56,5,9,1,4
1,59,3,10,0,7
0,43,5,7,1,5
0,68,3,2,0,9
1,48,5,3,1,9
0,70,2,4,0,7
0,39,5,7,1,9
0,57,4,4,1,6
0,26,6,8,1,7
1,27,7,6,1,5
0,50,5,6,1,5
0,25,4,9,0,9
1,44,4,4,0,10
1,24,2,1,0,6
0,50,4,10,1,8
1,53,6,6,1,5
0,38,7,10,1,4
1,58,3,4,1,9
0,40,6,8,1,7
0,39,6,2,1,7
0,53,7,10,1,6
0,32,4,9,0,8
1,58,7,8,1,5
1,52,3,6,0,8
0,45,6,7,1,6
0,45,4,1,0,2
0,63,6,2,0,5
1,57,2,4,1,2
1,27,3,5,1,7
0,41,5,10,1,8
1,63,3,4,0,8
1,71,3,1,0,2
1,69,3,2,0,5
1,28,3,6,1,7
0,66,5,4,1,10
0,20,4,1,0,9
1,19,2,5,0,4
1,49,7,7,1,3
0,36,3,7,1,3
1,49,3,5,1,8
1,73,3,3,0,8
1,75,3,6,0,5
1,43,6,8,1,10
0,46,5,5,1,4
0,61,5,5,1,7
0,61,5,7,1,4
1,25,3,4,1,9
0,37,4,4,0,4
1,18,2,2,0,10
0,41,3,3,1,5
0,45,3,9,1,4
1,46,3,5,1,4
0,74,6,6,0,5
1,54,3,8,1,4
0,57,7,10,1,5
0,72,2,1,0,8
0,43,4,7,0,0
1,74,5,3,0,7
1,22,3,1,1,3
1,28,4,1,1,2
0,47,3,5,1,4
0,29,3,1,1,4
1,50,6,7,1,8
0,60,7,10,1,2
0,48,2,4,1,6
1,59,3,1,0,8
0,60,6,1,1,5
1,87,3,2,0,6
1,40,3,9,1,9
0,37,7,8,1,8
1,61,3,7,1,10
0,19,4,1,0,3
0,47,3,10,1,7
1,40,6,8,1,5
1,27,4,1,1,3
1,19,4,1,0,5
1,33,3,4,0,7
1,55,6,9,1,5
1,33,2,7,1,9
0,28,7,7,1,3
1,47,5,7,1,4
0,53,6,10,1,6
0,26,6,5,1,3
1,38,6,10,0,9
1,76,3,2,0,5
0,30,7,9,1,2
0,42,6,6,1,6
1,47,3,10,1,3
0,59,7,10,1,6
1,47,6,7,1,3
0,24,6,1,1,3
0,50,5,4,1,5
1,47,6,8,1,8
0,25,4,5,1,4
0,79,6,1,0,6
1,28,6,2,1,3
1,29,2,1,0,4
0,65,6,10,1,8
0,50,6,4,1,6
1,46,4,9,1,9
1,21,2,2,0,7
1,58,3,7,1,5
0,59,3,7,1,5
0,31,6,3,0,6
1,40,4,10,1,10
0,61,2,4,0,10
1,45,5,10,1,7
1,41,7,10,0,6
1,47,3,7,0,4
0,59,6,3,1,5
0,45,6,10,1,7
1,17,2,10,0,10
0,54,6,6,1,2
1,50,3,6,1,6
1,75,6,6,1,8
1,32,3,3,0,2
0,78,3,1,0,8
0,74,3,7,0,5
0,55,3,6,1,5
0,41,6,10,1,3
1,50,5,10,0,3
1,25,6,1,1,3
0,71,6,3,0,7
1,42,3,4,1,5
1,47,4,10,1,8
1,26,6,3,1,3
1,41,3,6,1,7
0,33,7,9,1,7
1,51,5,5,1,5
1,15,2,7,0,3
1,62,3,3,0,3
0,78,1,4,0,8
1,64,1,4,1,8
1,70,3,1,1,0
0,68,7,10,0,6
0,26,2,3,1,7
1,21,4,4,1,4
1,51,6,9,1,8
1,49,5,4,1,5
0,33,6,5,1,7
1,73,2,5,0,5
1,59,6,5,1,7
1,76,6,5,0,3
0,73,2,3,0,5
1,51,2,10,1,7
1,52,2,10,1,6
0,20,2,1,1,8
1,65,3,4,1,6
1,76,7,8,0,6
0,44,4,10,1,7
1,69,4,2,0,8
0,52,5,8,1,7
0,63,6,8,0,7
1,69,3,6,0,6
0,17,2,4,1,7
0,16,2,10,0,3
0,32,3,4,1,5
0,56,5,4,1,0
0,45,5,8,0,3
1,72,7,5,0,5
1,29,2,3,1,9
1,17,2,10,1,5
0,56,2,1,0,2
1,71,7,4,0,8
1,27,6,2,0,3
0,16,4,10,0,7
1,75,3,2,0,5
1,83,6,3,0,8
1,28,3,5,1,5
1,67,3,4,1,2
1,45,2,6,0,4
1,45,3,6,1,5
0,76,3,2,0,5
1,61,5,5,1,5
1,62,6,9,1,6
0,67,3,5,0,7
0,74,7,7,0,5
0,38,6,4,1,6
1,29,3,4,1,9
0,45,4,10,1,7
1,68,3,3,1,5
0,46,7,10,1,8
1,68,3,7,0,5
1,51,6,10,0,8
1,26,6,4,1,6
1,32,6,10,1,7
1,73,1,2,0,5
1,52,6,9,1,9
0,41,3,8,0,7
1,37,6,9,0,5
0,69,3,5,0,5
1,67,1,1,0,3
1,73,1,4,1,5
1,29,3,7,1,5
0,50,6,10,1,2
0,31,3,6,1,5
0,41,5,7,1,4
1,34,6,6,1,7
0,27,6,6,1,7
1,54,5,10,1,7
1,36,6,5,0,3
0,62,1,2,1,2
0,49,4,7,0,8
0,28,3,8,1,8
0,35,3,5,1,4
0,45,2,6,1,7
1,82,3,2,0,10
0,37,7,10,1,3
0,40,3,8,1,5
1,31,5,5,0,7
1,77,3,5,0,10
1,56,5,8,1,6
1,38,2,6,1,5
0,67,5,3,0,7
1,49,5,6,0,8
1,35,7,7,0,7
1,66,5,7,0,3
0,64,7,9,1,5
0,50,7,10,1,7
0,41,3,6,1,5
1,39,6,10,0,5
1,34,2,4,1,5
1,36,2,3,1,2
1,55,3,8,1,3
1,53,6,9,1,5
0,65,3,6,1,8
0,47,6,6,0,8
0,53,5,5,1,6
0,78,3,5,0,8
0,75,6,4,0,1
1,29,5,6,1,7
0,61,2,4,1,8
1,25,4,7,1,3
1,39,2,10,0,5
1,26,3,5,0,9
1,23,2,1,0,7
0,44,6,10,1,4
1,40,5,10,1,7
0,49,7,10,1,7
0,75,2,1,0,5
0,84,4,7,0,5
1,63,3,4,1,5
1,38,3,10,1,2
1,25,7,4,0,8
0,61,3,7,1,2
1,68,3,5,0,5
0,43,3,5,1,5
0,68,2,3,0,8
1,76,3,5,0,4
0,76,3,2,0,8
0,48,6,8,1,2
0,28,6,1,0,0
1,49,6,8,1,8
1,42,3,9,1,6
0,68,6,5,0,9
1,31,4,4,0,8
0,49,6,6,1,4
0,61,3,6,0,5
0,69,3,7,0,4
0,21,4,1,1,3
1,22,3,1,1,9
1,76,6,7,0,9
0,65,3,4,0,8
1,65,7,8,0,9
0,30,5,8,1,4
0,70,6,6,1,1
0,46,7,6,1,5
1,60,3,7,1,6
0,31,6,4,1,5
1,48,3,4,1,4
1,29,6,10,0,7
0,40,6,7,1,5
1,43,7,3,0,7
0,70,7,4,0,8
0,45,7,8,1,9
1,25,3,6,0,7
1,21,4,10,1,5
1,58,5,9,0,6
0,43,7,9,1,5
0,21,3,5,1,6
1,49,7,10,0,3
0,42,7,10,1,4
1,29,3,3,1,5
0,61,6,5,0,3
1,39,6,7,1,6
0,56,5,5,0,3
0,57,3,6,1,7
0,65,3,6,0,10
1,59,3,10,1,5
0,59,3,10,1,5
0,65,6,9,1,8
1,25,3,7,0,10
0,54,6,7,0,8
1,66,2,5,0,5
1,24,2,3,1,3
1,17,2,9,0,8
0,28,7,7,1,8
1,61,6,8,1,7
0,89,1,2,0,4
1,63,3,3,1,9
0,74,3,6,0,9
0,46,5,8,1,4
0,88,2,1,0,4
1,27,4,1,0,3
0,54,2,5,1,4
0,15,1,10,0,7
1,72,3,2,0,4
0,46,7,7,1,7
1,83,6,7,0,8
0,58,6,8,1,8
0,43,3,6,1,7
0,58,5,5,1,5
1,42,6,10,1,2
0,66,6,6,1,2
1,49,5,9,1,8
1,34,6,10,1,9
1,42,5,10,1,8
1,26,3,6,1,5
1,65,3,5,1,4
1,21,4,1,0,9
1,54,3,6,1,7
1,63,3,2,1,4
0,46,7,8,1,5
1,22,4,1,0,4
1,20,4,10,0,8
1,59,2,10,1,5
0,76,5,3,0,3
1,61,3,1,1,5
1,49,3,5,1,9
1,19,4,7,0,6
1,43,3,9,1,4
1,29,2,1,0,5
0,47,2,6,1,8
0,61,6,10,1,5
1,25,2,4,0,8
0,70,5,4,1,5
0,85,2,4,0,5
0,29,6,5,1,6
0,57,6,5,1,6
0,56,6,10,1,7
0,69,3,2,0,5
0,45,5,10,1,8
0,92,1,1,0,8
0,55,6,10,0,4
1,49,7,10,0,3
0,51,2,7,1,5
1,24,5,6,0,6
1,53,3,10,1,5
1,49,2,1,0,2
0,40,6,3,1,1
1,69,5,6,1,9
0,72,2,2,0,6
1,35,6,10,0,6
1,73,3,4,0,5
0,52,3,5,1,8
0,67,2,2,0,7
1,48,3,10,1,7
0,24,6,6,1,6
1,83,1,2,0,8
1,47,2,6,1,8
0,67,7,5,0,1
0,37,7,7,1,3
1,54,3,10,1,7
1,29,3,10,1,0
0,84,3,1,0,10
0,50,3,7,1,5
1,61,2,2,1,4
0,41,6,10,1,4
1,29,6,5,1,7
0,74,3,4,0,5
0,47,6,10,1,5
1,70,1,8,0,7
0,43,3,10,1,5
1,24,4,2,1,4
1,44,3,8,1,8
1,46,3,9,1,10
1,70,6,7,0,8
0,66,6,7,0,2
0,37,6,7,1,3
1,29,5,3,1,7
0,95,2,1,0,8
0,67,1,1,0,4
1,72,2,4,0,7
1,29,3,8,1,5
1,39,3,9,1,6
1,63,6,10,1,6
0,28,4,2,1,3
1,41,6,6,0,4
0,63,6,10,1,1
1,91,1,2,1,5
1,52,3,10,0,8
0,50,7,10,1,6
0,49,6,3,0,5
0,38,5,4,1,4
0,60,6,7,1,8
1,61,3,7,0,8
1,45,3,6,1,3
0,88,6,5,1,8
0,54,4,7,1,10
1,56,6,8,0,6
1,58,5,10,1,5
1,38,2,4,0,10
0,33,3,4,0,5
1,91,3,1,0,5
1,36,6,8,1,2
0,22,4,2,0,5
1,17,2,5,0,7
0,59,3,2,1,5
